,0
1620,38545
1621,267813
1622,270109
1623,226501
1624,123607
1625,284584
1626,313010
1627,178054
1628,1499
1629,225167
1630,306882
1631,494
1632,26457
1633,165948
1634,168609
1635,230303
1636,157917
1637,235014
1638,8098
1639,98
1640,701
1641,73369
1642,283619
1643,96007
1644,331050
1645,195571
1646,286537
1647,319910
1648,297486
1649,252446
1650,147253
1651,218804
1652,6351
1653,208895
1654,88827
1655,264647
1656,158900
1657,205046
1658,260300
1659,175307
1660,223215
1661,3565
1662,302260
1663,220133
1664,200511
1665,123499
1666,8129
1667,361
1668,180020
1669,206940
1670,43868
1671,182189
1672,171011
1673,67877
1674,138233
1675,21920
1676,54137
1677,280453
1678,266966
1679,123239
1680,253759
1681,336929
1682,301716
1683,330608
1684,282414
1685,310632
1686,232361
1687,111417
1688,38718
1689,103092
1690,163805
1691,29937
1692,24310
1693,157413
1694,172996
1695,811
1696,986
1697,142079
1698,254
1699,235555
1700,248861
1701,280136
1702,274124
1703,360265
1704,107255
1705,237
1706,13308
1707,244513
1708,46396
1709,139771
1710,325698
1711,12750
1712,220792
1713,318472
1714,210274
1715,143185
1716,145189
1717,4636
1718,325555
1719,136280
1720,2808
1721,15511
1722,2251
1723,180199
1724,175293
1725,8190
1726,274841
1727,281474
1728,32125
1729,267271
1730,251551
1731,259081
1732,22348
1733,2393
1734,369880
1735,333255
1736,35435
1737,288513
1738,57660
1739,5072
1740,122842
1741,198487
1742,70
1743,313889
1744,230305
1745,4396
1746,169611
1747,27627
1748,273703
1749,269752
1750,241831
1751,91984
1752,269968
1753,180592
1754,235375
1755,205610
1756,316786
1757,112138
1758,124172
1759,38386
1760,104955
1761,146221
1762,272427
1763,266083
1764,275044
1765,206084
1766,28089
1767,41010
1768,171726
1769,146816
1770,157096
1771,138649
1772,183284
1773,342810
1774,37387
1775,37907
1776,71074
1777,19622
1778,248125
1779,282853
1780,211716
1781,24742
1782,35503
1783,1662
1784,180852
1785,217083
1786,175549
1787,1107
1788,38992
1789,730
1790,252399
1791,253618
1792,202977
1793,1887
1794,174078
1795,160902
1796,328326
1797,174837
1798,66510
